Country,Country_Code,Year,Indicator_Code,Indicator,Value,Unit
South Korea,KOR,2018,WAGES,Average annual wages,56175.921,USD PPP per year
South Korea,KOR,2019,AVGHOURS,Average annual hours actually worked per worker,1966.0,Hours per year per person
South Korea,KOR,2019,GDPHOUR,GDP per hour worked,47.00325357796071,USD PPP per hour
South Korea,KOR,2019,WAGES,Average annual wages,58081.983,USD PPP per year
South Korea,KOR,2020,AVGHOURS,Average annual hours actually worked per worker,1907.0,Hours per year per person
South Korea,KOR,2020,GDPHOUR,GDP per hour worked,48.50871298442307,USD PPP per hour
South Korea,KOR,2020,WAGES,Average annual wages,59418.876,USD PPP per year
South Korea,KOR,2021,AVGHOURS,Average annual hours actually worked per worker,1910.0,Hours per year per person
South Korea,KOR,2021,GDPHOUR,GDP per hour worked,49.98218558092898,USD PPP per hour
South Korea,KOR,2021,WAGES,Average annual wages,59841.667,USD PPP per year
South Korea,KOR,2022,AVGHOURS,Average annual hours actually worked per worker,1900.0,Hours per year per person
South Korea,KOR,2022,GDPHOUR,GDP per hour worked,50.115665319839216,USD PPP per hour
South Korea,KOR,2022,WAGES,Average annual wages,58696.806,USD PPP per year
South Korea,KOR,2023,AVGHOURS,Average annual hours actually worked per worker,1872.0,Hours per year per person
South Korea,KOR,2023,GDPHOUR,GDP per hour worked,51.07553647092985,USD PPP per hour
South Korea,KOR,2023,WAGES,Average annual wages,59198.03,USD PPP per year
United States,USA,2014,AVGHOURS,Average annual hours actually worked per worker,1830.36,Hours per year per person
United States,USA,2014,GDPHOUR,GDP per hour worked,72.35346735812777,USD PPP per hour
United States,USA,2014,WAGES,Average annual wages,75074.762,USD PPP per year
United States,USA,2015,AVGHOURS,Average annual hours actually worked per worker,1831.118,Hours per year per person
United States,USA,2015,GDPHOUR,GDP per hour worked,73.19851169166591,USD PPP per hour
United States,USA,2015,WAGES,Average annual wages,76999.191,USD PPP per year
United States,USA,2016,AVGHOURS,Average annual hours actually worked per worker,1822.366,Hours per year per person
United States,USA,2016,GDPHOUR,GDP per hour worked,73.6846854784062,USD PPP per hour
United States,USA,2016,WAGES,Average annual wages,77129.241,USD PPP per year
United States,USA,2017,AVGHOURS,Average annual hours actually worked per worker,1820.449,Hours per year per person
United States,USA,2017,GDPHOUR,GDP per hour worked,74.46483796197043,USD PPP per hour
United States,USA,2017,WAGES,Average annual wages,77970.611,USD PPP per year
United States,USA,2018,AVGHOURS,Average annual hours actually worked per worker,1825.66,Hours per year per person
United States,USA,2018,GDPHOUR,GDP per hour worked,75.27728632091625,USD PPP per hour
United States,USA,2018,WAGES,Average annual wages,78892.594,USD PPP per year
United States,USA,2019,AVGHOURS,Average annual hours actually worked per worker,1822.579,Hours per year per person
United States,USA,2019,GDPHOUR,GDP per hour worked,76.57222195017918,USD PPP per hour
United States,USA,2019,WAGES,Average annual wages,80317.647,USD PPP per year
United States,USA,2020,AVGHOURS,Average annual hours actually worked per worker,1799.777,Hours per year per person
United States,USA,2020,GDPHOUR,GDP per hour worked,80.05585297032337,USD PPP per hour
United States,USA,2020,WAGES,Average annual wages,85170.596,USD PPP per year
United States,USA,2021,AVGHOURS,Average annual hours actually worked per worker,1818.849,Hours per year per person
United States,USA,2021,GDPHOUR,GDP per hour worked,81.52020497270419,USD PPP per hour
United States,USA,2021,WAGES,Average annual wages,86695.78,USD PPP per year
United States,USA,2022,AVGHOURS,Average annual hours actually worked per worker,1809.896,Hours per year per person
United States,USA,2022,GDPHOUR,GDP per hour worked,81.10142875669932,USD PPP per hour
United States,USA,2022,WAGES,Average annual wages,84214.966,USD PPP per year
United States,USA,2023,AVGHOURS,Average annual hours actually worked per worker,1804.95,Hours per year per person
United States,USA,2023,GDPHOUR,GDP per hour worked,82.26885599486027,USD PPP per hour
United States,USA,2023,WAGES,Average annual wages,83866.258,USD PPP per year
